2.5|5|0|0

U2_PB||161,89|40,955|0
U3_PB||161,89|48,575|0
U4_PB||88,23|37,145|45
U5_PB||142,83|25,085|225
U6_PB||115,53|31,115|90
U7_PB||81,24|35,565|90
U8_PB||84,41|25,405|90
U9_PB||146,65|36,825|270
U10_PB||84,41|20,325|90
U11_PB||84,41|15,875|90
U12_PB||146,65|41,905|270
U13_PB||146,65|46,355|270
U23_PB||78,7|50,165|270
U24_PB||78,7|12,065|90
U25_PB||125,05|29,845|45
U29_PB||81,24|43,185|90
VIO_PB||71,71|31,115|90
WW_PB||107,91|40,645|0
X1_PB||161,83|31,115|270
C1_IB|020614|45,725|8,005|90
R1_IB|015761|45,725|6,095|270
R2_IB|015782|46,615|6,095|90
UEP_IB||44,115|7,615|270
X-NORTH_IB||55,845|31,115|270
X-SOUTH_IB||11,385|31,115|90
