2.5|5|0|0

C8_IB||59,015|52,075|0
C9_IB||8,215|10,155|180
X-EAST_IB||33,615|8,885|0
X-WEST_IB||33,615|53,345|180
C1_SB|020614|53,935|65,725|270
C14_SB|020614|17,485|106,085|0
C15_SB|020614|24,345|104,945|180
C16_SB|020614|42,495|73,825|90
C17_SB|020614|42,885|74,965|0
C18_SB|020614|24,345|105,705|180
C19_SB|020614|24,345|103,415|180
C20_SB|020614|17,485|73,955|0
C21_SB|020614|24,345|73,955|180
C22_SB|020614|42,885|109,135|180
C23_SB|020614|17,485|110,015|180
C24_SB|020614|17,485|75,095|180
C25_SB|020614|24,345|104,175|0
C26_SB|020614|24,345|110,015|0
C27_SB|020614|42,885|107,605|180
C28_SB|020614|49,745|107,485|0
C29_SB|020614|17,485|107,605|0
C30_SB|020614|17,485|108,365|0
C31_SB|020614|49,745|104,945|180
C32_SB|020614|49,745|98,595|180
C33_SB|020614|49,745|91,985|180
C34_SB|020614|49,745|83,345|180
C35_SB|020614|49,745|78,265|180
C36_SB|020614|17,485|106,845|0
C37_SB|020614|17,485|98,595|0
C38_SB|020614|17,485|92,245|0
C39_SB|020614|17,485|90,975|0
C40_SB|020614|17,485|83,345|0
C41_SB|020614|17,485|78,265|0
C42_SB|020614|17,485|76,995|0
C43_SB|020614|49,745|91,225|180
C44_SB|020614|42,885|109,895|0
C45_SB|020614|49,745|109,895|180
C46_SB|020614|49,745|75,725|180
C47_SB|020614|24,345|75,725|180
C48_SB|020614|24,345|73,185|180
C49_SB|020614|17,485|73,185|0
C50_SB|020614|42,885|105,325|0
C51_SB|020614|42,885|78,775|0
C52_SB|020614|42,885|78,015|0
C53_SB|020614|24,345|107,985|180
C54_SB|020614|24,345|78,265|180
C55_SB|020614|24,345|77,505|180
C56_SB|020614|24,345|76,495|180
C57_SB|020614|42,885|108,365|0
C58_SB|020614|49,745|106,715|180
C59_SB|020614|48,855|66,035|180
C60_SB|020614|49,745|108,245|180
C61_SB|020614|42,885|110,655|0
C62_SB|020614|24,345|109,255|180
C63_SB|020614|24,345|106,465|180
C64_SB|020614|24,345|74,965|180
C65_SB|020614|19,645|111,765|90
C66_SB|020614|22,185|111,765|90
C67_SB|020614|42,885|70,355|180
C68_SB|020614|46,315|65,275|180
C69_SB|020614|48,855|65,275|180
C70_SB|020614|42,885|69,595|180
C71_SB|020614|24,345|107,225|180
C72_SB||26,625|113,915|270
C73_SB||49,745|110,655|180
C74_SB||49,745|76,495|180
C75_SB||24,345|79,035|180
C76_SB||42,885|77,255|0
C77_SB||23,455|113,915|90
C78_SB||17,735|113,915|90
C79_SB||49,745|105,705|180
C80_SB||49,745|77,505|180
C81_SB||28,155|113,915|270
C82_SB|020637|49,995|74,455|180
C83_SB|020637|20,915|71,915|180
C84_SB||42,885|106,085|0
C85_SB|020637|39,585|73,155|0
C86_SB||24,975|113,915|90
C87_SB||16,215|113,915|90
C88_SB|020637|39,585|66,425|0
C89_SB||17,485|76,235|0
C92_SB||42,885|106,845|0
C93_SB|020614|50,125|65,655|270
R1X_SB|015761|54,315|67,115|180
R2X_SB|015782|54,695|65,725|270
R23_SB|015782|43,275|73,825|90
R24_SB|015782|20,915|111,375|180
R25_SB||43,265|104,055|270
U4_SB||47,205|69,345|90
U5_SB||43,395|66,925|90
U6_SB||39,585|69,345|90
U7_SB||13,295|115,255|0
UEP_SB||52,285|66,615|90
X-NORTH_SB||55,845|90,805|270
X-SOUTH_SB||11,385|90,805|90
