BOM combines:,,,,,,,,,,,,,,,,,,
axiom_beta_main_board_v0.37 R1.1,,,,,"Creation process: pcbom.ulp -> csv with all parameters, open csv, copy paste here, manually rearrange coloumns",,,,,,,,,,,,,
axiom_beta_interface_dummy_v0.13_r1.2,,,,,,,,,,,,,,,,,,
axiom_beta_power_board_v0.37 R1.2,,,,,,,,,,,,,,,,,,
axiom_beta_sensor_cmv12000_tht_v0.16_r1.4c,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
ID,Sub-ID,Qty,Description,Package,Schematic Reference,PCB,Side,Mount,Tele ID,Digi-Key,Farnell,Mouser,Manufacturer,MPN,Source,Packaging,Note,
34,1,1,100n 10V+,0402,C1,IB V0.13 R1.3,,SMT,,,,,,,Tele,,,
35,2,8,47u 10V+,0805,"C2, C3, C4, C5, C6, C7, C8, C9",IB V0.13 R1.3,,SMT,,,,,,,Tele,,,
36,3,1,10k,0402,R1,IB V0.13 R1.3,,SMT,,,,,,,Tele,,,
37,4,1,0R,0402,R2,IB V0.13 R1.3,,SMT,,,,,,,Tele,,,
38,5,1,BR24G04NUX,DFN200X300X100-9N,UEP,IB V0.13 R1.3,,SMT,,,,,,,apertus,,EEPROM Serial-I2C 4K-bit 512 x 8 1.8V/2.5V/3.3V/5V 8-Pin VSON-X EP T/R,
39,6,2,High Density B2B Connector,FX10A-100P/10-SV1,"X-EAST, X-WEST",IB V0.13 R1.3,,SMT,,H11246TR-ND,,,,,apertus,,pick and place pad variants?,
40,7,2,High Density B2B Connector,FX10A-144S-SV,"X-NORTH, X-SOUTH",IB V0.13 R1.3,,SMT,,H122464-ND,,,,,apertus,,pick and place pad variants?,
41,8,4,HTSW-102-14-L-S-ND,PINHEADER,"SW, NW, SE, NE",IB V0.13 R1.3,BOT,THT,,,,,Samtec,HTSW-102-14-L-S-ND,apertus,,,
,,,,,,,,,,,,,,,,,,Beschreibung
42,1,20,10u 35V+ -20% +80% od. besser,0603,"C1, C5, C6, C10, C15, C18, C21, C24, C39, C42, C45, C48, C51, C54, C57, C60, C63, C66, C69, C75",PB V0.37 R1.2,,SMT,,,,,,,Tele,,,
43,2,4,10u 35V+ -20% +80% od. besser,1206,"C2, C4, C7, C9",PB V0.37 R1.2,,SMT,,,,,,,Tele,,,
44,3,2,1n 35V+ +-20% od. besser,0402,"C3, C8",PB V0.37 R1.2,,SMT,,,,,,,Tele,,,
45,4,6,10n 10V+ +-20%,0402,"C11, C12, C76, C79, C82, C90",PB V0.37 R1.2,,SMT,,,,,,,Tele,,,
46,5,21,4u7 10V+ +-20%,0603,"C13, C16, C19, C22, C27, C30, C33, C36, C37, C40, C43, C46, C49, C52, C55, C58, C61, C64, C67, C70, C73",PB V0.37 R1.2,,SMT,,,,,,,Tele,,,
47,6,13,1u +-20% 10V+,0402,"C25, C26, C28, C29, C31, C32, C34, C35, C77, C78, C80, C81, C91",PB V0.37 R1.2,,SMT,,,,,,,Tele,,,
48,7,3,10u 10V+,0603,"C72, C83, C84",PB V0.37 R1.2,,SMT,,,,,,,Tele,,,
49,8,6,100n 10V+,0402,"C85, C86, C87, C88, C89, C92",PB V0.37 R1.2,,SMT,,,,,,,Tele,,,
50,9,1,4u7 10V+ ,0402,C93,PB V0.37 R1.2,,SMT,,,,,,,Tele,,,
51,10,2,SPX3819M5-L,SOT95P280X145-5N,"CNW, CSE",PB V0.37 R1.2,,SMT,,,1831948,,EXAR,SPX3819M5-L,apertus,,"500mA, LOW-NOISE LDO VOLTAGE REGULATOR",
