BOM combines:					Creation process: pcbom.ulp -> csv with all parameters, open csv, copy paste here, manually rearrange coloumns							Legend:										
axiom_beta_main_board_v0.37 R1.1					axiom_beta_power_board_v0.37 R1.2							light orange lines are THT components										
axiom_beta_interface_dummy_v0.13_r1.2					axiom_beta_sensor_cmv12000_tht_v0.16_r1.4c							Red Text means something needs attention 										
																						
ID	Sub-ID	mehrfach	Qty	Description	Package	Schematic Reference (Silkscreen)	Combined Sch. Reference (*.asc)	PCB	Side	Mount	Tele ID	Digi-Key	Farnell	Mouser	Manufacturer	MPN	Source	Packaging	Stock (11/2020)	Note	Insurance Value (pc)	Datasheet
17	1	X	60	100n 10V+	0402	C1, C14, C15, C16, C17, C18, C19, C20, C21, C22, C23, C24, C25, C26, C27, C28, C29, C30, C31, C32, C33, C34, C35, C36, C37, C38, C39, C40, C41, C42, C43, C44, C45, C46, C47, C48, C49, C50, C51, C52, C53, C54, C55, C56, C57, C58, C59, C60, C61, C62, C63, C64, C65, C66, C67, C68, C69, C70, C71, C93	C1_SB,  C14_SB,  C15_SB,  C16_SB,  C17_SB,  C18_SB,  C19_SB,  C20_SB,  C21_SB,  C22_SB,  C23_SB,  C24_SB,  C25_SB,  C26_SB,  C27_SB,  C28_SB,  C29_SB,  C30_SB,  C31_SB,  C32_SB,  C33_SB,  C34_SB,  C35_SB,  C36_SB,  C37_SB,  C38_SB,  C39_SB,  C40_SB,  C41_SB,  C42_SB,  C43_SB,  C44_SB,  C45_SB,  C46_SB,  C47_SB,  C48_SB,  C49_SB,  C50_SB,  C51_SB,  C52_SB,  C53_SB,  C54_SB,  C55_SB,  C56_SB,  C57_SB,  C58_SB,  C59_SB,  C60_SB,  C61_SB,  C62_SB,  C63_SB,  C64_SB,  C65_SB,  C66_SB,  C67_SB,  C68_SB,  C69_SB,  C70_SB,  C71_SB,  C93_SB	SB THT V0.16 R1.5c	BOT	SMT	020614		8819742				Tele	8mm Reel		auch auf MB, KERK SMD 100n 0402 T:X5R        +-10% 16V 85°C 		
18	2		12	4u7 10V+	0402	C72, C73, C74, C75, C76,C77, C78, C79, C80, C84, C89, C92	C72_SB,  C73_SB,  C74_SB,  C75_SB,  C76_SB, C77_SB,  C78_SB,  C79_SB,  C80_SB,  C84_SB,  C89_SB,  C92_SB	SB THT V0.16 R1.5c	BOT	SMT						CC0402MRX5R6BB475	Tele		bestellen			
19	3		3	100u 10V+ +-20%	1206	C81, C86, C87	C81_SB,  C86_SB,  C87_SB	SB THT V0.16 R1.5c	BOT	SMT						GRM31CR61A107ME05K	Tele		bestellen			
20	4		4	10µ 10V+ +-10% sonst +-20%	0603	C82, C83, C85, C88	C82_SB,  C83_SB,  C85_SB,  C88_SB	SB THT V0.16 R1.5c	BOT	SMT	020637						Tele		Bestand: 28	KERK SMD 10u 0603 T:X5R +-10% 25V 85°C		
21	5	X	1	10k 1%	0402	R1X	R1X_SB	SB THT V0.16 R1.5c	BOT	SMT	015761						Tele			WID SMD 10k 0402        +-1% 100mW TK100, auch auf MB		
22	6		3	0R	0402	R23, R24, R2X	R23_SB,  R24_SB,  R2X_SB	SB THT V0.16 R1.5c	BOT	SMT	015782						Tele			AN prüfen, WID SMD 0R 0402 % 62mW TK		
23	7		1	100R	0402	R25	R25_SB	SB THT V0.16 R1.5c	BOT	SMT			9239111			RC0402FR-07100RL	Tele		bestellen	hat Tele nicht, wir haben nur noch wenige		
24	8		2	CMV12000 ANDON Image Sensor Socket Strip 30x4 pins 1.27mm grid	10-30-10-120-400T4-R27-L14	SENSOR	SENSOR_SB	SB THT V0.16 R1.5c	TOP	THT							apertus	Tray		Werkzeug für definierte Eindrucktiefe -> Manfred	35$/paar	in cloud
25	9		3	SN74AVC4T774RSV	QFN40P185X265X55-16N	U4, U5, U6	U4_SB,  U5_SB,  U6_SB	SB THT V0.16 R1.5c	BOT	SMT							apertus	haben noch 64, 12mm tape		4-BIT DUAL-SUPPLY BUS TRANSCEIVER		
26	10		1	PCT2075TP,147	HWSON8	U7	U7_SB	SB THT V0.16 R1.5c	BOT	SMT			2396745				apertus	8mm Reel		Digital temperature sensor and thermal watchdog		https://datasheet.octopart.com/PCT2075TP%2C147-NXP-Semiconductors-datasheet-14857537.pdf
27	11		1	EEPROM	DFN200X300X100-9N	UEP	UEP_SB	SB THT V0.16 R1.5c	BOT	SMT						CAT24C16HU4I-GT3, EEPROM 16kbit, 400kHz UDFN-8	apertus	8mm Tape		CAT24C16HU4I-GT3, EEPROM 16kbit, 400kHz UDFN-8		https://datasheet.octopart.com/CAT24C16HU4I-GT3-ON-Semiconductor-datasheet-8469542.pdf
28	12		2	High Density B2B Connector	FX10A-144P-SV(71)	X-NORTH, X-SOUTH	X-NORTH_SB,  X-SOUTH_SB	SB THT V0.16 R1.5c	BOT	SMT		H123290-ND				FX10A-144P-SV(71)	apertus	56mm Reel, 12mm Increment, 4mm gear				https://datasheet.octopart.com/FX10A-144P-SV%2871%29-Hirose-datasheet-48343725.pdf
																						
34	1	X	1	100n 10V+	0402	C1	C1_IB	IB V0.13 R1.3	BOT	SMT	020614						Tele	8mm Reel		auch auf MB KERK SMD 100n 0402 T:X5R        +-10% 16V 85°C		
35	2		8	47u 10V+	0805	C2, C3, C4, C5, C6, C7, C8, C9	C2_IB,  C3_IB,  C4_IB,  C5_IB,  C6_IB,  C7_IB,  C8_IB,  C9_IB	IB V0.13 R1.3	BOT	SMT					Murata	GRM21BR61A476ME15L	Tele		bestellen			
